Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_36;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobServer.cpp;73;77
[CODE-MAX]_36;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;646;650
[CODE-MAX]_37;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/api/api_tms.cpp;246;250
[CODE-MAX]_37;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/api/api_tms.cpp;274;278
[CODE-MAX]_38;13;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;582;586
[CODE-MAX]_38;13;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;588;592
[CODE-MAX]_39;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobOutputServer.cpp;125;129
[CODE-MAX]_39;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobServer.cpp;305;309
[CODE-MAX]_40;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;70;74
[CODE-MAX]_40;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;181;185
[CODE-MAX]_41;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;380;383
[CODE-MAX]_41;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;389;392
[CODE-MAX]_42;10;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobOutputServer.cpp;90;93
[CODE-MAX]_42;10;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobServer.cpp;206;209
[CODE-MAX]_43;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobOutputServer.cpp;93;96
[CODE-MAX]_43;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobServer.cpp;206;209
[CODE-MAX]_44;10;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/slave/slave.cpp;77;80
[CODE-MAX]_44;10;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/slave/slave.cpp;82;85
[CODE-MAX]_45;13;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;165;168
[CODE-MAX]_45;13;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;170;173
[CODE-MAX]_46;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;119;122
[CODE-MAX]_46;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;181;184
[CODE-MAX]_47;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/ListProgressServer.hpp;129;131
[CODE-MAX]_47;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;683;685
[CODE-MAX]_48;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;350;352
[CODE-MAX]_48;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;392;394
[CODE-MAX]_49;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;358;360
[CODE-MAX]_49;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;369;371
[CODE-MAX]_50;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;636;636
[CODE-MAX]_50;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;638;638
